,input,target
455,старый инвалид сидя на столе нашивал синюю заплату на локоть зеленого мундира,S C S S C S S S S S S P
456,я велел ему доложить обо мне,S S S S S P
457,войди батюшка отвечал инвалид наши дома,C C S C S P
458,я вошел в чистенькую комнатку убранную по-старинному,S S S S C S P
459,в углу стоял шкаф с посудой на стене висел диплом офицерский за стеклом и в рамке около него красовались лубочные картинки представляющие взятие кистрина и очакова также выбор невесты и погребение кота,S S S S S C S S S S S S S S S C S S S S C S S S S C S S S S S P
460,у окна сидела старушка в телогрейке и с платком на голове,S S S S S S S S S S P
461,она разматывала нитки которые держал распялив на руках кривой старичок в офицерском мундире,S S C S C S S C S S S S P
462,что вам угодно батюшка спросила она продолжая свое занятие,S S C C S C S S P
463,я отвечал что приехал на службу и явился по долгу своему к господину капитану и с этим словом обратился было к кривому старичку принимая его за коменданта но хозяйка перебила затверженную мною речь,S C S S S S S S S S S S S C S S S S S S S S C S S S C S S S S S P
464,ивана кузмича дома нет сказала она он пошел в гости к отцу герасиму да все равно батюшка я его хозяйка,S S S C S C S S S S S S C S S C C S S P
465,прошу любить и жаловать,S S S P
466,садись батюшка,C P
467,она кликнула девку и велела ей позвать урядника,S S S S S S S P
468,старичок своим одиноким глазом поглядывал на меня с любопытством,S S S S S S S S P
469,смею спросить сказал он вы в каком полку изволили служить,S C S C S S S S S Q
470,я удовлетворил его любопытству,S S S P
471,а смею спросить продолжал он зачем изволили вы перейти из гвардии в гарнизон,S S C S C S S S S S S S Q
472,я отвечал что такова была воля начальства,S C S S S S P
473,чаятельно за неприличные гвардии офицеру поступки продолжал неутомимый вопрошатель,C S S S S C S S P
474,полно врать пустяки сказала ему капитанша ты видишь молодой человек с дороги устал ему не до тебя,S S C S S C S C S S S S C S S S P
475,держи-ка руки прямее,S S P
476,а ты мой батюшка продолжала она обращаясь ко мне не печалься что тебя упекли в наше захолустье,S C S C S C S S C S C S S S S S P
477,не ты первый не ты последний,S S C S S P
478,стерпится слюбится,C P
479,швабрин алексей иваныч вот уж пятый год как к нам переведен за смертоубийство,S S S S S S S S S S S S P
480,бог знает какой грех его попутал он изволишь видеть поехал за город с одним поручиком да взяли с собою шпаги да и ну друг в друга пырять а алексей иваныч и заколол поручика да еще при двух свидетелях,S C S S S C C S C S S S S S C S S S S C S S S S S S C S S S S S C S S S S EX
481,что прикажешь делать,S S Q
482,на грех мастера нет,S S S P
483,в эту минуту вошел урядник молодой и статный казак,S S S S C S S S P
484,максимыч сказала ему капитанша,C S S P
485,отведи господину офицеру квартиру да почище,S S S C S P
486,слушаю василиса егоровна отвечал урядник,C S C S P
487,не поместить ли его благородие к ивану полежаеву,S S S S S S S Q
488,врешь максимыч сказала капитанша у полежаева и так тесно он же мне кум и помнит что мы его начальники,C C S C S S S S C S S S S S C S S S P
489,отведи господина офицера как ваше имя и отчество мой батюшка,S S S S S S S C S Q
490,петр андреич,S Q
491,отведи петра андреича к семену кузову,S S S S S P
492,он мошенник лошадь свою пустил ко мне в огород,C C S S S S S S P
493,ну что максимыч все ли благополучно,C C C S S Q
494,всё слава богу тихо отвечал казак только капрал прохоров подрался в бане с устиньей негулиной за шайку горячей воды,C S C C S C S S S S S S S S S S S S P
495,иван игнатьич сказала капитанша кривому старичку,S C S S S P
496,разбери прохорова с устиньей кто прав кто виноват,S S S C S C S P
497,да обоих и накажи,S S S P
498,ну максимыч ступай себе с богом,C C S S S P
499,петр андреич максимыч отведет вас на вашу квартиру,S C S S S S S P
500,я откланялся,S P
501,урядник привел меня в избу стоявшую на высоком берегу реки на самом краю крепости,S S S S C S S S S C S S S P
502,половина избы занята была семьею семена кузова другую отвели мне,S S S S S S C S S P
503,она состояла из одной горницы довольно опрятной разделенной надвое перегородкой,S S S S S S C S S P
504,савельич стал в ней распоряжаться я стал глядеть в узенькое окошко,S S S S C S S S S S P
505,передо мною простиралась печальная степь,S S S S P
506,наискось стояло несколько избушек по улице бродило несколько куриц,S S S C S S S S P
507,старуха стоя на крыльце с корытом кликала свиней которые отвечали ей дружелюбным хрюканьем,C S S S S C S C S S S S P
508,и вот в какой стороне осужден я был проводить мою молодость,S S S S S S S S S S EX
509,тоска взяла меня я отошел от окошка и лег спать без ужина несмотря на увещания савельича который повторял с сокрушением господи владыко ничего кушать не изволит,S S C S S S S S S S S C S S S C S S S C S C S S S EX
510,что скажет барыня коли дитя занеможет,S S C S S Q
511,на другой день поутру я только что стал одеваться как дверь отворилась и ко мне вошел молодой офицер невысокого роста с лицом смуглым и отменно некрасивым но чрезвычайно живым,S S S S S S S S C S S C S S S S S S S C S S S S S C S S P
512,извините меня сказал он мне по-французски что я без церемонии прихожу с вами познакомиться,S C S S S C S S S S S S S P
513,вчера узнал я о вашем приезде желание увидеть наконец человеческое лицо так овладело мною что я не вытерпел,S S S S S C S S S S S S S C S S S P
514,вы это поймете когда проживете здесь еще несколько времени,S S C S S S S S P
515,я догадался что это был офицер выписанный из гвардии за поединок,S C S S S C S S S S P
516,мы тотчас познакомились,S S P
517,швабрин был очень не глуп,S S S S P
518,разговор его был остер и занимателен,S S S S S P
519,он с большой веселостию описал мне семейство коменданта его общество и край куда завела меня судьба,S S S S S S S C S S S C S S S P
520,я смеялся от чистого сердца как вошел ко мне тот самый инвалид который чинил мундир в передней коменданта и от имени василисы егоровны позвал меня к ним обедать,S S S S C S S S S S S C S S S S S C S S S S S S S S S P
521,швабрин вызвался идти со мною вместе,S S S S S P
522,подходя к комендантскому дому мы увидели на площадке человек двадцать стареньких инвалидов с длинными косами и в треугольных шляпах,S S S C S S S S S S S S S S S S S S P
523,они выстроены были во фрунт,S S S S P
524,впереди стоял комендант старик бодрый и высокого росту в колпаке и в китайчатом халате,S S C S S S S C S S S S S P
525,увидя нас он к нам подошел сказал мне несколько ласковых слов и стал опять командовать,S C S S S C S S S S S S S S P
526,мы остановились было смотреть на учение но он просил нас идти к василисе егоровне обещаясь быть вслед за нами,S S S S S C S S S S S S S C S S S S P
527,а здесь прибавил он нечего вам смотреть,S C S C S S P
528,василиса егоровна приняла нас запросто и радушно и обошлась со мною как бы век была знакома,S S S S S S S S S S S S S S S P
529,инвалид и палашка накрывали стол,S S S S P
530,что это мой иван кузмич сегодня так заучился сказала комендантша,S S S S S S S C S P
531,палашка позови барина обедать,C S S P
532,да где же маша,S S S Q
533,тут вошла девушка лет осьмнадцати круглолицая румяная с светло-русыми волосами гладко зачесанными за уши которые у ней так и горели,S S S S C C C S S C S S S C S S S S S P
534,с первого взгляда она не очень мне понравилась,S S S S S S S P
535,я смотрел на нее с предубеждением швабрин описал мне машу капитанскую дочь совершенною дурочкою,S S S S S C S S S C S C S P
536,марья ивановна села в угол и стала шить,S S S S S S S P
537,между тем подали щи,S S S P
538,василиса егоровна не видя мужа вторично послала за ним палашку,S C S S C S S S S P
539,скажи барину гости-де ждут щи простынут слава богу ученье не уйдет успеет накричаться,S C C C S C S C S S C S P
540,капитан вскоре явился сопровождаемый кривым старичком,S S C S S P
541,что это мой батюшка сказала ему жена,S C S C S S P
542,кушанье давным-давно подано а тебя не дозовешься,S S C S S S P
543,а слышь ты василиса егоровна отвечал иван кузмич я был занят службой солдатушек учил,S S C S C S S C S S S C S P
544,и полно возразила капитанша,C C S P
545,только слава что солдат учишь ни им служба не дается ни ты в ней толку не ведаешь,S C S S C S S S S C S S S S S S P
546,сидел бы дома да богу молился так было бы лучше,S S S S S C S S S P
547,дорогие гости милости просим за стол,S C S S S P
548,мы сели обедать,S S P
549,василиса егоровна не умолкала ни на минуту и осыпала меня вопросами кто мои родители живы ли они где живут и каково их состояние,S S S S S S S S S S C S S C S S C S S S S S Q
550,услыша что у батюшки триста душ крестьян легко ли сказала она ведь есть же на свете богатые люди,C S S S S S C S C S C S S S S S S EX
551,а у нас мой батюшка всего-то душ одна девка палашка да слава богу живем помаленьку,S S C S C S S S S C S S C S P
552,одна беда маша девка на выданье а какое у ней приданое частый гребень да веник да алтын денег с чем в баню сходить,S C C S S C S S S S C S C S C S S C S S S S P
553,хорошо коли найдется добрый человек а то сиди себе в девках вековечной невестою,C S S S C S S S S S S S P
554,я взглянул на марью ивановну она вся покраснела и даже слезы капнули на ее тарелку,S S S S C S S C S S S S S S P
555,мне стало жаль ее и я спешил переменить разговор,S S S C S S S S P
556,я слышал сказал я довольно некстати что на вашу крепость собираются напасть башкирцы,S C S S S C S S S S S S P
557,от кого батюшка ты изволил это слышать спросил иван кузмич,S C C S S S C S S P
558,мне так сказывали в оренбурге отвечал я,S S S S C S P
559,пустяки сказал комендант,C S P
560,у нас давно ничего не слыхать,S S S S S P
561,башкирцы народ напуганный да и киргизцы проучены,C S C S S S P
562,небось на нас не сунутся а насунутся так я такую задам острастку что лет на десять угомоню,S S S S C S C S S S S C S S S S P
563,и вам не страшно продолжал я обращаясь к капитанше оставаться в крепости подверженной таким опасностям,S S S C S C S S C S S C S S Q
564,привычка мой батюшка отвечала она,C S C S P
565,тому лет двадцать как нас из полка перевели сюда и не приведи господи как я боялась проклятых этих нехристей,S S S S S S S S C S S S C S S S S S EX
566,как завижу бывало рысьи шапки да как заслышу их визг веришь ли отец мой сердце так и замрет,S C C S C S S S S C S C S C S S S EX
567,а теперь так привыкла что и с места не тронусь как придут нам сказать что злодеи около крепости рыщут,S S S C S S S S S C S S S C S S S S P
568,василиса егоровна прехрабрая дама заметил важно швабрин,S S S C S S P
569,иван кузмич может это засвидетельствовать,S S S S P
570,да слышь ты сказал иван кузмич баба-то не робкого десятка,C S C S S C S S S P
571,а марья ивановна спросил я так же ли смела как и вы,S S C S C S S S C S S Q
572,смела ли маша отвечала ее мать,S S C S S P
573,нет маша трусиха,C S P
574,до сих пор не может слышать выстрела из ружья так и затрепещется,S S S S S S S S C S S P
575,а как тому два года иван кузмич выдумал в мои именины палить из нашей пушки так она моя голубушка чуть со страха на тот свет не отправилась,S S S S S S S S S S S S S S C S C S C S S S S S S S P
576,с тех пор уж и не палим из проклятой пушки,S S S S S S S S S P
577,мы встали из-за стола,S S S P
578,капитан с капитаншею отправились спать а я пошел к швабрину с которым и провел целый вечер,S S S S C S S S S C S S S S S P
579,прошло несколько недель и жизнь моя в белогорской крепости сделалась для меня не только сносною но даже и приятною,S S C S S S S S S S S S S S C S S S P
580,в доме коменданта был я принят как родной,S S S S S S S P
581,муж и жена были люди самые почтенные,S S S S S S P
582,иван кузмич вышедший в офицеры из солдатских детей был человек необразованный и простой но самый честный и добрый,S C S S S S S C S S S S C S S S S P
583,жена его им управляла что согласовалось с его беспечностию,S S S C S S S S P
584,василиса егоровна и на дела службы смотрела как на свои хозяйские и управляла крепостию так точно как и своим домком,S S S S S S C S S S C S S S S C S S S P
585,марья ивановна скоро перестала со мною дичиться,S S S S S S P
586,мы познакомились,S P
587,я в ней нашел благоразумную и чувствительную девушку,S S S S S S S P
588,незаметным образом я привязался к доброму семейству даже к ивану игнатьичу кривому гарнизонному поручику о котором швабрин выдумал будто бы он был в непозволительной связи с василисой егоровной что не имело и тени правдоподобия но швабрин о том не беспокоился,S S S S S S C S S S C S S C S S S C S S S S S S S S S C S S S S S C S S S S S P
589,я был произведен в офицеры,S S S S P
590,служба меня не отягощала,S S S P
591,в богоспасаемой крепости не было ни смотров ни учений ни караулов,S S S S S S C S C S P
592,комендант по собственной охоте учил иногда своих солдат но еще не мог добиться чтобы все они знали которая сторона правая которая левая хотя многие из них дабы в том не ошибиться перед каждым оборотом клали на себя знамение креста,S S S S S S S C S S S S C S S S C S S C S C S S S C S S S S C S S S S S S S P
593,у швабрина было несколько французских книг,S S S S S P
594,я стал читать и во мне пробудилась охота к литературе,S S C S S S S S S P
595,по утрам я читал упражнялся в переводах а иногда и в сочинении стихов,S S S C S S C S S S S S P
596,обедал почти всегда у коменданта где обыкновенно проводил остаток дня и куда вечерком иногда являлся отец герасим с женою акулиной памфиловной первою вестовщицею во всем околотке,S S S S C S S S S S S S S S S S S S S S C S S S S P
597,с а и швабриным разумеется виделся я каждый день но час от часу беседа его становилась для меня менее приятною,S S S C C S S S C S S S S S S S S S S P
598,всегдашние шутки его насчет семьи коменданта мне очень не нравились особенно колкие замечания о марье ивановне,S S S S S S S S S C S S S S S P
599,другого общества в крепости не было но я другого и не желал,S S S S S C S S S S S P
600,несмотря на предсказания башкирцы не возмущались,S S C S S P
601,спокойствие царствовало вокруг нашей крепости,S S S S P
602,но мир был прерван незапным междуусобием,S S S S S P
603,я уже сказывал что я занимался литературою,S S C S S S P
604,опыты мои для тогдашнего времени были изрядны и александр петрович сумароков несколько лет после очень их похвалял,S C S S C S C S S S C S S C S S P
605,однажды удалось мне написать песенку которой был я доволен,S S S S C S S S P
606,известно что сочинители иногда под видом требования советов ищут благосклонного слушателя,C S S C S S S C S S P
607,итак переписав мою песенку я понес ее к швабрину который один во всей крепости мог оценить произведения стихотворца,C S S C S S S S C S S S S S S S S P
608,после маленького предисловия вынул я из кармана свою тетрадку и прочел ему следующие стишки мысль любовну истребляя тщусь прекрасную забыть и ах машу избегая мышлю вольность получить,S S S S S S S S S S S S S C S S C S S C S C S C S S EX
609,но глаза что мя пленили всеминутно предо мной,S C S S C S S P
610,они дух во мне смутили сокрушили мой покой,S S S S C S S P
611,ты узнав мои напасти сжалься маша надо мной зря меня в сей лютой части и что я пленен тобой,C S S C C C S C S S S S S C S S S S P
612,как ты это находишь спросил я швабрина ожидая похвалы как дани мне непременно следуемой,S S S C S S C S C S C S S P
613,но к великой моей досаде швабрин обыкновенно снисходительный решительно объявил что песня моя нехороша,C S S S C C S C S C S S S P
614,почему так спросил я его скрывая свою досаду,S C S S C S S P
615,потому отвечал он что такие стихи достойны учителя моего василья кирилыча тредьяковского и очень напоминают мне его любовные куплетцы,C S C S S S S S C S S C S S S S S S P
616,тут он взял от меня тетрадку и начал немилосердно разбирать каждый стих и каждое слово издеваясь надо мной самым колким образом,S S S S S S S S S S S S S S C S S S S S P
617,я не вытерпел вырвал из рук его мою тетрадку и сказал что уж отроду не покажу ему своих сочинений,S S C S S S S S S S C S S S S S S S P
618,швабрин посмеялся и над этой угрозою,S S S S S P
619,посмотрим сказал он сдержишь ли ты свое слово стихотворцам нужен слушатель как ивану кузмичу графинчик водки перед обедом,C S C S S S S C S S C S S S S S S P
620,а кто эта маша перед которой изъясняешься в нежной страсти и в любовной напасти,S S S C S S S S S S S S S Q
621,уж не марья ль ивановна,S S S S Q
622,не твое дело отвечал я нахмурясь кто бы ни была эта маша,S S C S S C S S S S S P
623,не требую ни твоего мнения ни твоих догадок,S S S S C S S P
624,ого,EX
625,самолюбивый стихотворец и скромный любовник продолжал швабрин час от часу более раздражая меня но послушай дружеского совета коли ты хочешь успеть то советую действовать не песенками,S S S S C S C S S S S S C S S S C S S S C S S S S P
626,что это сударь значит,S C C Q
627,изволь объясниться,S P
628,с охотою,S P
629,это значит что ежели хочешь чтоб маша миронова ходила к тебе в сумерки то вместо нежных стишков подари ей пару серег,S C S S C S S S S S S S C S S S S S S S P
630,кровь моя закипела,S S P
631,а почему ты об ней такого мнения спросил я с трудом удерживая свое негодование,S S S S S S C S C S S S S P
632,а потому отвечал он с адской усмешкою — что знаю по опыту ее нрав и обычай,S C S S S S C S S S S S S S S P
633,ты лжешь мерзавец вскричал я в бешенстве ты лжешь самым бесстыдным образом,S C C S S S C S S S S P
634,швабрин переменился в лице,S S S P
635,это тебе так не пройдет сказал он стиснув мне руку,S S S S C S C S S P
636,вы мне дадите сатисфакцию,S S S P
637,изволь когда хочешь отвечал я обрадовавшись,C S C S C P
638,в эту минуту я готов был растерзать его,S S S S S S S P
639,я тотчас отправился к ивану игнатьичу и застал его с иголкою в руках по препоручению комендантши он нанизывал грибы для сушенья на зиму,S S S S S S S S S S S S C S S S S S S S S S P
640,а петр андреич сказал он увидя меня добро пожаловать,C S C S C S C S EX
641,как это вас бог принес по какому делу смею спросить,S S S S C S S C S Q
642,я в коротких словах объяснил ему что я поссорился с алексеем иванычем а его ивана игнатьича прошу быть моим секундантом,S S S S S C S S S S S C S C S C S S S P
643,иван игнатьич выслушал меня со вниманием вытараща на меня свои единственный глаз,S S S S S C S S S S S P
644,вы изволите говорить сказал он мне что хотите алексея иваныча заколоть и желаете чтоб я при том был свидетелем,S S C S S C S S S S S S C S S S S S Q
645,так ли смею спросить,S C S P
646,точно так,S P
647,помилуйте петр андреич,C S EX
648,что это вы затеяли,S S S EX
649,вы с алексеем иванычем побранились,S S S S Q
650,велика беда,S EX
651,брань на вороту не виснет,S S S S P
652,он вас побранил а вы его выругайте он вас в рыло а вы его в ухо в другое в третье и разойдитесь а мы вас уж помирим,S S C S S S C S S S C S S S S C S C S C S C S S S S P
653,а то доброе ли дело заколоть своего ближнего смею спросить,S C S S S S S C S Q
654,и добро б уж закололи вы его бог с ним с алексеем иванычем я и сам до него не охотник,S S S S S S C S S C S S C S S S S S S P
655,ну а если он вас просверлит,C S S S S Q
656,на что это будет похоже,S S S S Q
657,кто будет в дураках смею спросить,S S S C S Q
658,рассуждения благоразумного поручика не поколебали меня,S S S S S P
659,я остался при своем намерении,S S S S P
660,как вам угодно сказал иван игнатьич делайте как разумеете,S S C S S C S S P
661,да зачем же мне тут быть свидетелем,S S S S S S Q
662,к какой стати,S S Q
663,люди дерутся что за невидальщина смею спросить,S C S S C S Q
664,слава богу ходил я под шведа и под турку всего насмотрелся,S C S S S S S S C S P
665,я кое-как стал изъяснять ему должность секунданта но иван игнатьич никак не мог меня понять,S S S S S S C S S S S S S S P
666,воля ваша сказал он,S C S P
667,коли уж мне и вмешаться в это дело так разве пойти к ивану кузмичу да донести ему по долгу службы что в фортеции умышляется злодействие противное казенному интересу не благоугодно ли будет господину коменданту принять надлежащие меры,S S S S S S S C S S S S S S S S S S S C S S S S C S S C S S S S S S S S P
668,я испугался и стал просить ивана игнатьича ничего не сказывать коменданту насилу его уговорил он дал мне слово и я решился от него отступиться,S S S S S S S S S S C S S C S S S C S S S S S P
669,вечер провел я по обыкновению своему у коменданта,S S C S S C S P
670,я старался казаться веселым и равнодушным дабы не подать никакого подозрения и избегнуть докучных вопросов но признаюсь я не имел того хладнокровия которым хвалятся почти всегда те которые находились в моем положении,S S S S S C S S S S S S S S C C C S S S S C S S S S C S S S S P
671,в этот вечер я расположен был к нежности и к умилению,S S S S S S S S S S P
672,марья ивановна нравилась мне более обыкновенного,S S S S S P
673,мысль что может быть вижу ее в последний раз придавала ей в моих глазах что-то трогательное,C C S C S S S S C S S S S S S P
674,швабрин явился тут же,S S S P
675,я отвел его в сторону и уведомил его о своем разговоре с иваном игнатьичем,S S S S S S S S S S S S S P
676,зачем нам секунданты сказал он мне сухо без них обойдемся,S S C S S S C S S P
677,мы условились драться за скирдами что находились подле крепости и явиться туда на другой день в седьмом часу утра,S S S S C S S S C S S S S S S S S S P
678,мы разговаривали по-видимому так дружелюбно что иван игнатьич от радости проболтался,S C C S C S S S S S P
679,давно бы так сказал он мне с довольным видом худой мир лучше доброй ссоры а и нечестен так здоров,S S C S S S S S C S S S S C S S C S P
680,что что иван игнатьич сказала комендантша которая в углу гадала в карты я не вслушалась,C C S C S C S S S S S C S S P
681,иван игнатьич заметив во мне знаки неудовольствия и вспомня свое обещание смутился и не знал что отвечать,S C S S S S S S S S C S S S C S P
682,швабрин подоспел к нему на помощь,S S S S S P
683,иван игнатьич сказал он одобряет нашу мировую,S C S C S S P
684,а с кем это мой батюшка ты ссорился,S S S C S C S Q
685,мы было поспорили довольно крупно с петром андреичем,S S S S S S S P
686,за что так,S S Q
687,за сущую безделицу за песенку василиса егоровна,S S C S C S P
688,нашли за что ссориться за песенку да как же это случилось,S S S C S EX S S S S Q
689,да вот как петр андреич сочинил недавно песню и сегодня запел ее при мне а я затянул мою любимую капитанская дочь не ходи гулять в полночь,S S C S S S S S S S S S S C S S S S C S C S S S S P
690,вышла разладица,S P
691,петр андреич было и рассердился но потом рассудил что всяк волен петь что кому угодно,S S S S C S S C S S S C S S P
692,тем и дело кончилось,S S S P
693,бесстыдство швабрина чуть меня не взбесило но никто кроме меня не понял грубых его обиняков по крайней мере никто не обратил на них внимания,S S S S S C S C S C S S S S C S S S S S S S S P
694,от песенок разговор обратился к стихотворцам и комендант заметил что все они люди беспутные и горькие пьяницы и дружески советовал мне оставить стихотворство как дело службе противное и ни к чему доброму не доводящее,S S S S S C S S C S S S S S S S C S S S S S C S S S S S S S S S S P
695,присутствие швабрина было мне несносно,S S S S P
696,я скоро простился с комендантом и с его семейством пришед домой осмотрел свою шпагу попробовал ее конец и лег спать приказав савельичу разбудить меня в седьмом часу,S S S S S S S S C S C S S C S S S S S C S S S S S S P
697,на другой день в назначенное время я стоял уже за скирдами ожидая моего противника,S S S S S S S S S S C S S P
698,вскоре и он явился,S S S P
699,нас могут застать сказал он мне надобно поспешить,S S C S S C S P
700,мы сняли мундиры остались в одних камзолах и обнажили шпаги,S S C S S S S S S P
701,в эту минуту из-за скирда вдруг появился иван игнатьич и человек пять инвалидов,S S S S S S S S S S S S P
702,он потребовал нас к коменданту,S S S S P
703,мы повиновались с досадою солдаты нас окружили и мы отправились в крепость вслед за иваном игнатьичем который вел нас в торжестве шагая с удивительной важностию,S S S C S S C S S S S S S S S C S S S S C S S S P
704,мы вошли в комендантский дом,S S S S P
705,иван игнатьич отворил двери провозгласив торжественно привел,S S S C S C EX
706,нас встретила василиса егоровна,S S S P
707,ах мои батюшки,C S EX
708,на что это похоже как что в нашей крепости заводить смертоубийство,S S S C C C S S S S EX
709,иван кузмич сейчас их под арест,S C S S S EX
710,петр андреич,S EX
711,алексей иваныч подавайте сюда ваши шпаги подавайте подавайте,S C S S S C C P
712,палашка отнеси эти шпаги в чулан,C S S S S P
713,петр андреич,S EX
714,этого я от тебя не ожидала,S S S S S P
715,как тебе не совестно,S S S Q
716,добро алексей иваныч он за душегубство и из гвардии выписан он и в господа бога не верует а ты-то что туда же лезешь,S S C S S S S S S C S S S S S S C S S C S S Q
717,иван кузмич вполне соглашался с своею супругою и приговаривал а слышь ты василиса егоровна правду говорит,S S S S S S S S C S S C S S S P
718,поединки формально запрещены в воинском артикуле,S S S S S P
719,между тем палашка взяла у нас наши шпаги и отнесла в чулан,S S S S S S S S S S S P
720,я не мог не засмеяться,S S S S P
721,швабрин сохранил свою важность,S S S P
722,при всем моем уважении к вам сказал он ей хладнокровно не могу не заметить что напрасно вы изволите беспокоиться подвергая нас вашему суду,S S S S S C S S S C S S S C S S S S C S S S P
723,предоставьте это ивану кузмичу это его дело,S S S C S S P
724,ах мой батюшка возразила комендантша да разве муж и жена не един дух и едина плоть,C S C S C S S S S S S S S S S Q
725,иван кузмич,S EX
726,что ты зеваешь,S S Q
727,сейчас рассади их по разным углам на хлеб да на воду чтоб у них дурь-то прошла да пусть отец герасим наложит на них эпитимию чтоб молили у бога прощения да каялись перед людьми,S S S S S S S S S S C S S S S C S S S S S S S C S S S S S S S S P
728,иван кузмич не знал на что решиться,S S S C S S P
729,марья ивановна была чрезвычайно бледна,S S S S P
730,мало-помалу буря утихла комендантша успокоилась и заставила нас друг друга поцеловать,S S C S S S S S S S P
731,палашка принесла нам наши шпаги,S S S S P
732,мы вышли от коменданта по-видимому примиренные,S S S S S P
733,иван игнатьич нас сопровождал,S S S P
734,как вам не стыдно было сказал я ему сердито доносить на нас коменданту после того как дали мне слово того не делать,S S S S C S S S C S S S S S C S S S S S S Q
735,как бог свят я ивану кузмичу того не говорил отвечал он василиса егоровна выведала все от меня,S S C S S S S S C S C S S S S S P
736,она всем и распорядилась без ведома коменданта,S S S S S S P
737,впрочем слава богу что все так кончилось,C S C S S S P
738,с этим словом он повернул домой а швабрин и я остались наедине,S S S S S C S S S S S P
739,наше дело этим кончиться не может сказал я ему,S S S S S C S S P
740,конечно отвечал швабрин вы своею кровью будете отвечать мне за вашу дерзость но за нами вероятно станут присматривать,C S C S S S S S S S S C S S C C S P
741,несколько дней нам должно будет притворяться,S S S S S P
742,до свидания,S EX
743,и мы расстались как ни в чем не бывали,S S S S S S S S P
744,возвратясь к коменданту я по обыкновению своему подсел к марье ивановне,S S C C S S C S S S P
745,ивана кузмича не было дома,S S S S P
746,василиса егоровна занята была хозяйством,S S S S P
747,мы разговаривали вполголоса,S S P
748,марья ивановна с нежностию выговаривала мне за беспокойство причиненное всем моею ссорою с швабриным,S S S S S S S C S S S S S P
749,я так и обмерла сказала она когда сказали нам что вы намерены биться на шпагах,S S S C S C S S C S S S S S P
750,как мужчины странны,S S EX
751,за одно слово о котором через неделю верно б они позабыли они готовы резаться и жертвовать не только жизнию но и совестию и благополучием тех которые,S S C S S S S S S S C S S S S S S S C S S S S S C P
752,но я уверена что не вы зачинщик ссоры,S S C S S S S P
753,верно виноват алексей иваныч,C S S P
754,а почему же вы так думаете марья ивановна,S S S S S C S Q
755,да так он такой насмешник,S S S S EX
756,я не люблю алексея иваныча,S S S S P
757,он очень мне противен а странно ни за что б я не хотела чтоб и я ему так же не нравилась,S S S C S C S S S S S S C S S S S S S S P
758,это меня беспокоило бы страх,S S S S P
759,а как вы думаете марья ивановна,S S S C S Q
760,нравитесь ли вы ему или нет,S S S C S Q
761,марья ивановна заикнулась и покраснела,S S S S P
