,input,input_lemma,new_target
502,содержание письма было следующее сын мой петр,содержание письмо быть следующий сын мой петр,S S S C S S F
503,немедленно буду писать к андрею карловичу прося его перевести тебя из белогорской крепости куда-нибудь подальше где бы дурь у тебя прошла,немедленно быть писать к андрей карловичу просить он перевести ты из белогорский крепость куда-нибудь далекий где бы дурь у ты пройти,S S S S S C S S S S S S S S C S S S S S F
504,матушка твоя узнав о твоем поединке и о том что ты ранен с горести занемогла и теперь лежит,матушка твой узнать о твой поединок и о тот что ты ранить с горесть занемочь и теперь лежать,S C S S S S S S C S S C S S S S S F
505,молю бога чтоб ты исправился хоть и не смею надеяться на его великую милость,молить бог чтоб ты исправиться хоть и не сметь надеяться на его великий милость,S C S S C S S S S S S S S F
506,жестокие выражения на которые батюшка не поскупился глубоко оскорбили меня,жестокий выражение на который батюшка не поскупиться глубоко оскорбить я,S C S S S S C S S F
507,пренебрежение с каким он упоминал о марье ивановне казалось мне столь же непристойным как и несправедливым,пренебрежение с какой он упоминать о марья иванович казаться я столь же непристойный как и несправедливый,C S S S S S S C S S S S C S S F
508,мысль о переведении моем из белогорской крепости меня ужасала но всего более огорчило меня известие о болезни матери,мысль о переведение мой из белогорский крепость я ужасать но всего более огорчить я известие о болезнь мать,S S S S S S S S C S S S S S S S S F
509,я негодовал на савельича не сомневаясь что поединок мой стал известен родителям через него,я негодовать на савельич не сомневаться что поединок мой стать известный родитель через он,S S S C S C S S S S S S S F
510,помилуй сударь сказал он чуть не зарыдав что это изволишь говорить,помиловать сударь сказать он чуть не зарыдать что это изволить говорить,C C S C S S C S S S F
511,я причина что ты был ранен,я причина что ты быть ранить,S C S S S F
512,бог видит бежал я заслонить тебя своею грудью от шпаги алексея иваныча,бог видеть бежать я заслонить ты свой грудь от шпага алексей иванович,S C S S S S S S S S S F
513,что ты сделал отвечал я,что ты сделать отвечать я,S S C S F
514,кто просил тебя писать на меня доносы разве ты приставлен ко мне в шпионы,кто просить ты писать на я донос разве ты приставить к я в шпион,S S S S S S C S S S S S S F
515,я писал на тебя доносы отвечал савельич со слезами,я писать на ты донос отвечать савельич с слеза,C S S S C S S S F
516,так изволь-ка прочитать что пишет ко мне барин увидишь как я доносил на тебя,так изволь-ка прочитать что писать к я барин увидеть как я доносить на ты,S S C S S S S C C S S S S F
517,я тебя старого пса пошлю свиней пасти за утайку правды и потворство к молодому человеку,я ты старый пес пошлю свинья пасть за утайка правда и потворство к молодой человек,S C S C S S S S S S S S S S F
518,очевидно было что савельич передо мною был прав и что я напрасно оскорбил его упреком и подозрением,очевидный быть что савельич передо я быть правый и что я напрасно оскорбить он упрек и подозрение,S C S S S S S S S S S S S S S S F
519,я просил у него прощения но старик был неутешен,я просить у он прощение но старик быть неутешный,S S S S C S S S F
520,вот до чего я дожил повторял он вот каких милостей дослужился от своих господ,вот до что я дожить повторял он вот какой милость дослужиться от свой господин,S S S S C S C S S S S S S F
521,я и старый пес и свинопас да я ж и причина твоей раны,я и старый пес и свинопас да я ж и причина твой рана,S S S C S C S S S S S S F
522,но он казалось обо мне не слишком заботился а иван кузмич не почел за нужное рапортовать о моем поединке,но он казалось о я не слишком заботиться а иван кузмич не почесть за нужный рапортовать о мой поединок,S C C S S S S C S S S S S S S S S S F
523,он один имел выгоду в доносе коего следствием могло быть удаление мое из крепости и разрыв с комендантским семейством,он один иметь выгода в донос кой следствие мочь быть удаление мой из крепость и разрыв с комендантский семейство,S S S S S C S S S S S S S S S S S S F
524,что это с вами сделалось сказала она увидев меня,что это с вы сделаться сказать она увидеть я,S S S S C S C S F
525,все кончено отвечал я и отдал ей батюшкино письмо,весь кончено отвечать я и отдать она батюшкин письмо,S C S S S S S S F
526,прочитав она возвратила мне письмо дрожащею рукою и сказала дрожащим голосом видно мне не судьба,прочитать она возвратить я письмо дрожащею рука и сказать дрожать голос видно я не судьба,C S S S S S S S S S C C S S F
527,бог лучше нашего знает что нам надобно,бог хороший наш знать что мы надобно,S S S C S S F
528,делать нечего петр андреич будьте хоть вы счастливы,делать нечего петр андреевич быть хоть вы счастливый,S C S C S S S F
529,этому не бывать вскричал я схватив ее за руку ты меня любишь я готов на все,это не бывать вскричать я схватить она за рука ты я любить я готовый на весь,S S C S C S S S C S S C S S S F
530,пойдем кинемся в ноги к твоим родителям они люди простые не жестокосердые гордецы,пойти кинуться в нога к твой родитель они человек простой не жестокосердый гордец,C S S S S S C S S C S S F
531,они нас благословят мы обвенчаемся а там со временем я уверен мы умолим отца моего матушка будет за нас он меня простит,они мы благословить мы обвенчаться а там с время я уверенный мы умолить отец мой матушка быть за мы он я простить,S S C S S S C S C S C S S S C S S S C S S F
532,нет петр андреич отвечала маша я не выйду за тебя без благословения твоих родителей,нет петр андреевич отвечать маша я не выйти за ты без благословение твой родитель,C S C S C S S S S S S S S F
533,коли найдешь себе суженую коли полюбишь другую бог с тобою петр андреич а я за вас обоих,коли найти себя суженый коли полюбить другой бог с ты петр андреевич а я за вы оба,S S S C S S C S S C S C S S S S F
534,я сидел погруженный в глубокую задумчивость как вдруг савельич прервал мои размышления,я сидеть погрузить в глубокий задумчивость как вдруг савельич прервать мой размышление,S C S S S C S S S S S F
535,вот сударь сказал он подавая мне исписанный лист бумаги посмотри доносчик ли я на своего барина и стараюсь ли я помутить сына с отцом,вот сударь сказать он подавать я исписать лист бумага посмотреть доносчик ли я на свой барин и стараться ли я помутить сын с отец,C C S C S S S S C C S S S S S S S S S S S S S F
536,я взял из рук его бумагу это был ответ савельича на полученное им письмо,я взять из рука его бумага это быть ответ савельич на получить он письмо,S S S S S C S S S S S S S F
537,вот он от слова до слова государь андрей петрович отец наш милостивый,вот он от слово до слово государь андрей петрович отец наш милостивый,S S S S S C S S C S S F
538,командиры слышно им довольны а у василисы егоровны он как родной сын,командир слышно они довольный а у василиса егорович он как родной сын,C C S C S S S S S S S F
539,а что с ним случилась такая оказия то быль молодцу не укора конь и о четырех ногах да спотыкается,а что с он случиться такой оказия то быль молодец не укор конь и о четыре нога да спотыкаться,S S S S S S C S S S S C S S S S C S F
540,а изволите вы писать что сошлете меня свиней пасти и на то ваша боярская воля,а изволите вы писать что сослать я свинья пасть и на тот ваш боярский воля,S S S C S S S S C S S S S S F
541,я не мог несколько раз не улыбнуться читая грамоту доброго старика,я не мочь несколько раз не улыбнуться читать грамота добрый старик,S S S S S S C S S S F
542,отвечать батюшке я был не в состоянии а чтоб успокоить матушку письмо савельича мне показалось достаточным,отвечать батюшка я быть не в состояние а чтоб успокоить матушка письмо савельич я показаться достаточный,S S S S S S C S S S C S S S S F
543,василиса егоровна сначала за то мне пеняла но видя мое упрямство оставила меня в покое,василиса егорович сначала за тот я пенять но видеть мой упрямство оставить я в покой,S S S S S S C C S S C S S S F
544,с иваном кузмичом виделся я только когда того требовала служба,с иван кузмич видеться я только когда тот требовать служба,S S S S S C S S S F
545,со швабриным встречался редко и неохотно тем более что замечал в нем скрытую к себе неприязнь что и утверждало меня в моих подозрениях,с швабрин встречаться редко и неохотно тот более что замечать в он скрыть к себя неприязнь что и утверждать я в мой подозрение,S S S S S C S S S S S S S S S C S S S S S S F
546,я впал в мрачную задумчивость которую питали одиночество и бездействие,я впасть в мрачный задумчивость который питать одиночество и бездействие,S S S S C S S S S F
547,я боялся или сойти с ума или удариться в распутство,я бояться или сойти с ум или удариться в распутство,S S S S S C S S S F
548,неожиданные происшествия имевшие важное влияние на всю мою жизнь дали вдруг моей душе сильное и благое потрясение,неожиданный происшествие иметь важный влияние на весь мой жизнь дать вдруг мой душа сильный и благой потрясение,S C S S S S S S C S S S S S S S F
549,сия обширная и богатая губерния обитаема была множеством полудиких народов признавших еще недавно владычество российских государей,сей обширный и богатый губерния обитаемый быть множество полудикий народ признать еще недавно владычество российский государь,S S S S S S S S S C S S S S S F
550,их поминутные возмущения непривычка к законам и гражданской жизни легкомыслие и жестокость требовали со стороны правительства непрестанного надзора для удержания их в повиновении,их поминутный возмущение непривычка к закон и гражданский жизнь легкомыслие и жестокость требовать с сторона правительство непрестанный надзор для удержание они в повиновение,S S C S S S S S C S S S S S S S S S S S S S F
551,крепости выстроены были в местах признанных удобными заселены по большей части казаками давнишними обладателями яицких берегов,крепость выстроить быть в место признать удобный заселить по больший часть казак давнишний обладатель яицкий берег,S S S S C S C S S S S C S S S F
552,но яицкие казаки долженствовавшие охранять спокойствие и безопасность сего края с некоторого времени были сами для правительства неспокойными и опасными подданными,но яицкий казак долженствовать охранять спокойствие и безопасность сей край с некоторый время быть сам для правительство неспокойный и опасный поддать,S S C S S S S S S C S S S S S S S S S S F
553,причиною тому были строгие меры предпринятые генерал-майором траубенбергом дабы привести войско к должному повиновению,причина тот быть строгий мера предпринять генерал-майор траубенберг дабы привести войско к должный повиновение,S S S S C S S C S S S S S F
554,следствием было варварское убиение траубенберга своевольная перемена в управлении и наконец усмирение бунта картечью и жестокими наказаниями,следствие быть варварский убиение траубенберг своевольный перемена в управление и наконец усмирение бунт картечь и жестокий наказание,S S S S C S S S S C C S S S S S F
555,все было уже тихо или казалось таковым начальство слишком легко поверило мнимому раскаянию лукавых мятежников которые злобствовали втайне и выжидали удобного случая для возобновления беспорядков,весь быть уже тихий или казаться таковой начальство слишком легко поверить мнить раскаяние лукавый мятежник который злобствовать втайне и выжидать удобный случай для возобновление беспорядок,S S S S S S C S S S S S S S C S S S S S S S S S F
556,однажды вечером сидел я дома один слушая вой осеннего ветра и смотря в окно на тучи бегущие мимо луны,однажды вечер сидеть я дома один слушать вой осенний ветер и смотреть в окно на туча бежать мимо луна,S S S S S C S S S S S S S S S C S S F
557,у коменданта нашел я швабрина ивана игнатьича и казацкого урядника,у комендант найти я швабрин иван игнатьич и казацкий урядник,S S S S C S S S S F
558,в комнате не было ни василисы егоровны ни марьи ивановны,в комната не быть ни василиса егорович ни марья иванович,S S S S S S C S S F
559,он запер двери всех усадил кроме урядника который стоял у дверей вынул из кармана бумагу и сказал нам господа офицеры важная новость,он запереть дверь весь усадить кроме урядник который стоять у дверь вынуть из карман бумага и сказать мы господин офицер важный новость,S S C S C S C S S S C S S S S S S C S C S F
560,слушайте что пишет генерал,слушать что писать генерал,C S S F
561,тут он надел очки и прочел следующее господину коменданту белогорской крепости капитану миронову,тут он надеть очки и прочесть следующий господин комендант белогорский крепость капитан миронов,S S S S S S C S S S S S F
562,принять надлежащие меры сказал комендант снимая очки и складывая бумагу,принять надлежащий мера сказать комендант снимать очки и складывать бумага,S S C S C S S S S F
563,слышь ты легко сказать,слышь ты легко сказать,S C S F
564,злодей-то видно силен а у нас всего сто тридцать человек не считая казаков на которых плоха надежда не в укор буди тебе сказано максимыч,злодей-то видно сильный а у мы всего сто тридцать человек не считать казак на который плохой надежда не в укор буди ты сказать максимыч,C C C S S S S S S C S S C S S S C S S S S S C F
565,однако делать нечего господа офицеры,однако делать нечего господин офицер,S S C S F
566,будьте исправны учредите караулы да ночные дозоры в случае нападения запирайте ворота да выводите солдат,быть исправный учредить караул да ночной дозор в случай нападение запирать ворота да выводить солдат,S C S S S S C S S S S S S S F
567,ты максимыч смотри крепко за своими казаками,ты максимович смотреть крепко за свой казак,C C S S S S F
568,а пуще всего содержите все это в тайне чтоб в крепости никто не мог о том узнать преждевременно,а пуще весь содержать весь это в тайна чтоб в крепость никто не мочь о тот узнать преждевременно,S S S S S S S C S S S S S S S S S F
569,раздав сии повеления иван кузмич нас распустил,раздать сей повеление иван кузмич мы распустить,S S C S S S F
570,я вышел вместе со швабриным рассуждая о том что мы слышали,я выйти вместе с швабрин рассуждать о тот что мы слышать,S S S S C S S C S S F
571,как ты думаешь чем это кончится спросил я его,как ты думать что это кончиться спросить я он,S S C S S C S S F
572,бог знает отвечал он посмотрим,бог знать отвечать он посмотреть,S C S C F
573,несмотря на все наши предосторожности весть о появлении пугачева разнеслась по крепости,несмотря на весь наш предосторожность весть о появление пугачев разнестись по крепость,S S S S C S S S S S S F
574,иван кузмич хоть и очень уважал свою супругу но ни за что на свете не открыл бы ей тайны вверенной ему по службе,иван кузмич хоть и очень уважать свой супруг но ни за что на свет не открыть бы она тайна вверить он по служба,S C S S S S S C S S S S S S S S S S C S S S F
575,василиса егоровна тотчас захотела отправиться в гости к попадье и по совету ивана кузмича взяла с собою и машу чтоб ей не было скучно одной,василиса егорович тотчас захотеть отправиться в гость к попадья и по совет иван кузмич взять с себя и маша чтоб она не быть скучный один,S S S S S S S S S C S S S C S S S S C S S S S S F
576,иван кузмич оставшись полным хозяином тотчас послал за нами а палашку запер в чулан чтоб она не могла нас подслушать,иван кузмич остаться полный хозяин тотчас послать за мы а палашка запереть в чулан чтоб она не мочь мы подслушать,S C S S C S S S C S S S S C S S S S S F
577,она догадалась что была обманута мужем и приступила к нему с допросом,она догадаться что быть обмануть муж и приступить к он с допрос,S C S S S C S S S S S F
578,а для чего ж было тебе запирать палашку спросила комендантша,а для что ж быть ты запирать палашка спросить комендантша,S S S S S S S C S F
579,за что бедная девка просидела в чулане пока мы не воротились,за что бедный девка просидеть в чулан пока мы не воротиться,S S S S S S C S S S F
580,иван кузмич не был приготовлен к таковому вопросу он запутался и пробормотал что-то очень нескладное,иван кузмич не быть приготовить к таковой вопрос он запутаться и пробормотать что-то очень нескладный,S S S S S S S C S S S S S S F
581,что бы значили эти военные приготовления думала комендантша уж не ждут ли нападения от киргизцев,что бы значили этот военный приготовление думать комендантша уж не ждать ли нападение от киргизец,S S S S S C S C S S S S S S F
582,она кликнула ивана игнатьича с твердым намерением выведать от него тайну которая мучила ее дамское любопытство,она кликнуть иван игнатьич с твердый намерение выведать от он тайна который мучить она дамский любопытство,S S S C S S S S S S C S S S S F
583,василиса егоровна сделала ему несколько замечаний касательно хозяйства как судия начинающий следствие вопросами посторонними дабы сперва усыпить осторожность ответчика,василиса егорович сделать он несколько замечание касательно хозяйство как судия начинающий следствие вопрос посторонний дабы сперва усыпить осторожность ответчик,S S S S S S S C S C S S S C S S S S F
584,потом помолчав несколько минут она глубоко вздохнула и оказала качая головою господи боже мой,потом помолчать несколько минута она глубоко вздохнуть и оказать качая голова господи бог мой,C S S C S S S S C S C S S F
585,и матушка отвечал иван игнатьич,и матушка отвечать иван игнатьич,C C S S F
586,бог милостив солдат у нас довольно пороху много пушку я вычистил,бог милостивый солдат у мы довольно порох много пушка я вычистить,S C S S S C S C S S F
587,господь не выдаст свинья не съест,господь не выдать свинья не съесть,S S C S S F
588,а что за человек этот пугачев спросила комендантша,а что за человек этот пугачев спросить комендантша,S S S S S C S F
589,тут иван игнатьич заметил что проговорился и закусил язык,тут иван игнатьич заметить что проговориться и закусить язык,S S S C S C S S F
590,василиса егоровна принудила его во всем признаться дав ему слово не рассказывать о том никому,василиса егорович принудить он в весь признаться дать он слово не рассказывать о тот никто,S S S S S S C S S S S S S S F
591,впрочем не мог он сказать ничего положительного потому что ехать дальше побоялся,впрочем не мочь он сказать ничто положительный потому что ехать далекий побояться,C S S S S S C S S S S F
592,юлай крещеный калмык сделал коменданту важное донесение,юлай крещеный калмык сделать комендант важный донесение,C S C S S S F
593,комендант немедленно посадил урядника под караул а юлая назначил на его место,комендант немедленно посадить урядник под караул а юлай назначить на его место,S S S S S C S S S S S F
594,они громко роптали и иван игнатьич исполнитель комендантского распоряжения слышал своими ушами как они говорили вот ужо тебе будет гарнизонная крыса,они громко роптать и иван игнатьич исполнитель комендантский распоряжение слышать свой ухо как они говорить вот ужо ты быть гарнизонный крыса,S S C S S C S S C S S C S S C S S S C S F
595,комендант думал в тот же день допросить своего арестанта но урядник бежал из-под караула вероятно при помощи своих единомышленников,комендант думать в тот же день допросить свой арестант но урядник бежать из-под караул вероятно при помощь свой единомышленник,S S S S S S S S C S S S S C S S S S F
596,но как иван кузмич был человек самый прямодушный и правдивый то и не нашел другого способа кроме как единожды уже им употребленного,но как иван кузмич быть человек самый прямодушный и правдивый то и не найти другой способ кроме как единожды уже они употребить,S S S S S S S S S C S S S S S C S S S S S F
597,слышь ты василиса егоровна сказал он ей покашливая,слышь ты василиса егорович сказать он она покашливать,S C S C S S S F
598,отец герасим получил говорят из города,отец герасим получить говорить из город,S S C C S F
599,полно врать иван кузмич перервала комендантша ты знать хочешь собрать совещание да без меня потолковать об емельяне пугачеве да лих не проведешь,полно врать иван кузмич перервать комендантша ты знать хотеть собрать совещание да без я потолковать о емельян пугачев да лихо не провести,S C S C S C C C S S S S S S S S S C S S S F
600,ну матушка сказал он коли ты уже все знаешь так пожалуй оставайся мы потолкуем и при тебе,ну матушка сказать он коли ты уже весь знать так пожалуй оставаться мы потолковать и при ты,C C S C S S S S C C C C S S S S F
601,то-то батько мой отвечала она не тебе бы хитрить посылай-ка за офицерами,то-то батько мой отвечать она не ты бы хитрить посылать-ка за офицер,C S C S C S S S C S S F
602,иван кузмич в присутствии жены прочел нам воззвание пугачева писанное каким-нибудь полуграмотным казаком,иван кузмич в присутствие жена прочесть мы воззвание пугачев писать какой-нибудь полуграмотный казак,S S S S S S S S C S S S F
603,воззвание написано было в грубых но сильных выражениях и должно было произвести опасное впечатление на умы простых людей,воззвание написать быть в грубый но сильный выражение и должный быть произвести опасный впечатление на ум простой человек,S S S S C S S S S S S S S S S S S F
604,каков мошенник воскликнула комендантша,каков мошенник воскликнуть комендантша,S C S F
605,да разве не знает он что мы уже сорок лет в службе и всего слава богу насмотрелись,да разве не знать он что мы уже сорок год в служба и всего слава бог насмотреться,S S S S C S S S S S S S S C S C F
606,неужто нашлись такие командиры которые послушались разбойника,неужто найтись такой командир который послушаться разбойник,S S S C S S F
607,кажется не должно бы отвечал иван кузмич,казаться не должный бы отвечать иван кузмич,C S S C S S F
608,а слышно злодей завладел уж многими крепостями,а слышный злодей завладеть уж многий крепость,S C S S S S F
609,видно он в самом деле силен заметил швабрин,видно он в сам дело сильный заметить швабрин,C S S S S C S F
610,а вот сейчас узнаем настоящую его силу сказал комендант,а вот сейчас узнавать настоящий его сила сказать комендант,S S S S S S C S F
611,василиса егоровна дай мне ключ от анбара,василиса егорович дать я ключ от анбар,S C S S S S F
612,иван игнатьич приведи-ка башкирца да прикажи юлаю принести сюда плетей,иван игнатьич привести-ка башкирца да приказать юлаю принести сюда плетей,S C S S S S S S S F
613,постой иван кузмич сказала комендантша вставая с места,постой иван кузмич сказать комендантша вставая с место,C S C S C S S F
614,дай уведу машу куда-нибудь из дому а то услышит крик перепугается,дать увести маша куда-нибудь из дом а то услышать крик перепугается,S S S S S C S S S C F
615,да и я правду сказать не охотница до розыска,да и я правда сказать не охотница до розыск,S S C S C S S S F
616,пытка в старину так была укоренена в обычаях судопроизводства что благодетельный указ уничтоживший оную долго оставался безо всякого действия,пытка в старина так быть укоренить в обычай судопроизводство что благодетельный указ уничтожить оный долго оставаться без всякий действие,S S S S S S S S C S S C S C S S S S F
617,даже и ныне случается мне слышать старых судей жалеющих об уничтожении варварского обычая,даже и ныне случаться я слышать старый судья жалеть о уничтожение варварский обычай,S S S S S S S C S S S S F
618,в наше же время никто не сомневался в необходимости пытки ни судьи ни подсудимые,в наш же время никто не сомневаться в необходимость пытка ни судья ни подсудимый,S S S S S S S S S C S C S F
619,итак приказание коменданта никого из нас не удивило и не встревожило,итак приказание комендант никто из мы не удивить и не встревожить,C S S S S S S S S S F
620,иван игнатьич отправился за башкирцем который сидел в анбаре под ключом у комендантши и через несколько минут невольника привели в переднюю,иван игнатьич отправиться за башкирец который сидеть в анбар под ключ у комендантша и через несколько минута невольник привести в передний,S S S S C S S S S S S S C S S S S S S S F
621,башкирец с трудом шагнул через порог и сняв высокую свою шапку остановился у дверей,башкирец с труд шагнуть через порог и снять высокий свой шапка остановиться у дверь,S S S S S S C S S S C S S F
622,у него не было ни носа ни ушей,у он не быть ни нос ни ухо,S S S S S C S F
623,голова его была выбрита вместо бороды торчало несколько седых волос он был малого росту тощ и сгорблен но узенькие глаза его сверкали еще огнем,голова его быть выбрить вместо борода торчать несколько седой волос он быть малый рост тощий и сгорбить но узенький глаз он сверкать еще огонь,S S S C S S S S S C S S S C S S C S S S S S S F
624,эхе сказал комендант узнав по страшным его приметам одного из бунтовщиков наказанных в 1741 году,эхо сказать комендант узнать по страшный он примета один из бунтовщик наказать в 1741 год,C S C C S S S C S S C S S S F
625,да ты видно старый волк побывал в наших капканах,да ты видно старый волк побывать в наш капкан,S C C S C S S S F
626,ты знать не впервой уже бунтуешь коли у тебя так гладко выстрогана башка,ты знать не впервой уже бунтовать коли у ты так гладко выстрогать башка,C C S S S C S S S S S S F
627,подойди-ка поближе говори кто тебя подослал,подойти-ка близкий говорить кто ты подослать,S C C S S F
628,что же ты молчишь продолжал иван кузмич али бельмес по-русски не разумеешь,что же ты молчишь продолжать иван кузмич али бельмес по-русски не разуметь,S S S C S S C S S S S F
629,юлай спроси-ка у него по-вашему кто его подослал в нашу крепость,юлай спросить-ка у он по-вашему кто он подослать в наш крепость,C S S S C S S S S S F
630,якши сказал комендант ты у меня заговоришь,якши сказать комендант ты у я заговорить,C S C S S S F
631,ребята сымите-ка с него дурацкий полосатый халат да выстрочите ему спину,ребята сымить-ка с он дурацкий полосатый халат да выстрочить он спина,C S S S S S S S S S F
632,смотри ж юлай хорошенько его,смотри ж юлай хорошенько он,S C C S F
633,он оглядывался на все стороны как зверок пойманный детьми,он оглядываться на весь сторона как зверок поймать ребенок,S S S S C S C S F
634,ну сказал комендант видно нам от него толку не добиться,ну сказать комендант видно мы от он толк не добиться,C S C C S S S S S F
635,юлай отведи башкирца в анбар,юлай отвести башкирец в анбар,C S S S F
636,а мы господа кой о чем еще потолкуем,а мы господин кой о что еще потолковать,S C C S S S S F
637,мы стали рассуждать о нашем положении как вдруг василиса егоровна вошла в комнату задыхаясь и с видом чрезвычайно встревоженным,мы стать рассуждать о наш положение как вдруг василиса егорович войти в комната задыхаться и с вид чрезвычайно встревожить,S S S S S C S S S S S S C S S S S S F
638,что это с тобою сделалось спросил изумленный комендант,что это с ты сделаться спросить изумленный комендант,S S S S C S S F
639,батюшки беда отвечала василиса егоровна,батюшка беда отвечать василиса егорович,C C S S F
640,он видел как ее брали,он видеть как она брать,S C S S F
641,участь марьи ивановны живо представилась мне и сердце у меня так и замерло,участь марья иванович живо представиться я и сердце у я так и замереть,S S S S S C S S S S S S F
